All-Genes	Pathways of gene
SUP17	
SUP19	
SUP2	tRNA charging
SUP3	tRNA charging
SUP35	
SUP4	tRNA charging
SUP45	
SUP5	tRNA charging
SUP51	tRNA charging
SUP53	tRNA charging
SUP54	tRNA charging
SUP56	tRNA charging
SUP6	tRNA charging
SUP61	tRNA charging
SUP7	tRNA charging
SUP8	tRNA charging
SUR1	sphingolipid biosynthesis (yeast)
SUR2	sphingolipid biosynthesis (yeast)
SUR7	
SUS1	
SUT1	
SUT2	
SUV3	
SVF1	
SVL3	
SVP26	
SVS1	
SWA2	
SWC3	
SWC4	
SWC5	
SWC7	
SWD1	
SWD2	
SWD3	
SWE1	
SWF1	
SWH1	
SWI1	
SWI3	
SWI4	
SWI5	
SWI6	
SWM1	protein ubiquitination
SWM2	
SWP1	protein <i>N</i>-glycosylation (eukaryotic) initial steps
SWP82	
SWR1	
SWS2	
SWT1	
SWT21	
SXM1	
SYC1	
SYF1	
SYF2	
SYG1	
SYH1	
SYM1	
SYN8	
SYO1	
SYP1	
SYS1	
SYT1	
TAD1	
TAD2	
TAD3	
TAE1	
TAF1	
TAF10	
TAF11	
TAF12	
TAF13	
TAF14	
TAF2	
TAF3	
TAF4	
TAF5	
TAF6	
TAF7	
TAF8	
TAF9	
TAH1	
TAH11	
TAH18	
TAL1	pentose phosphate pathway // pentose phosphate pathway (non-oxidative branch)
TAM41	phosphatidylglycerol biosynthesis II (non-plastidic) // CDP-diacylglycerol biosynthesis I
TAN1	
TAO3	
TAP42	
TAR1	
TAT1	
TAT2	
TAX4	
TAZ1	phospholipid remodeling (phosphatidylethanolamine) // phospholipid remodeling (phosphatidylcholine) // triacylglycerol biosynthesis
TBF1	
TBS1	
TCA17	
TCB1	
TCB2	
TCB3	
TCD1	
TCD2	
TCM62	
TCO89	
TCP1	
TDA1	
TDA10	
TDA11	
TDA2	
TDA3	
TDA4	
TDA5	
TDA6	
TDA7	
TDA8	
TDA9	
TDH1	gluconeogenesis // glycolysis // glycolysis III (from glucose)
TDH2	gluconeogenesis // glycolysis // glycolysis III (from glucose)
TDH3	gluconeogenesis // glycolysis // glycolysis III (from glucose)
TDP1	
tE(UUC)G3	
tE(UUC)I	
tE(UUC)K	
tE(UUC)L	
tE(UUC)M	
tE(UUC)Q	
TEA1	
TEC1	
TED1	
TEF1	
TEF2	
TEF4	
TEL1	
TEL2	
TEM1	
TEN1	
TEP1	
TES1	acyl-CoA hydrolysis // oleate biosynthesis // stearate biosynthesis // palmitoleate biosynthesis // oleate &beta;-oxidation (thioesterase-dependent)
TEX1	
tF(GAA)B	
tF(GAA)F	
tF(GAA)G	
tF(GAA)H1	
tF(GAA)P1	
TFA1	
TFA2	
TFB1	
TFB2	
TFB3	
TFB4	
TFB5	
TFB6	
TFC1	
TFC3	
TFC4	
TFC6	
TFC7	
TFC8	
TFG1	
TFG2	
TFS1	
tG(GCC)B	
tG(GCC)D1	
tG(GCC)D2	
tG(GCC)E	
tG(GCC)F2	
tG(GCC)G1	
tG(GCC)G2	
tG(GCC)J1	
tG(GCC)M	
tG(GCC)O1	
tG(GCC)P1	
tG(GCC)P2	
tG(UCC)Q	
TGA1	
TGL1	sterol:steryl ester interconversion // triacylglycerol degradation
TGL2	sterol:steryl ester interconversion // triacylglycerol degradation
TGL3	sterol:steryl ester interconversion // phospholipid remodeling (phosphatidylethanolamine) // triacylglycerol degradation
TGL4	superpathway phosphatidate biosynthesis (yeast) // phospholipid remodeling (phosphatidylcholine) // phospholipid remodeling (phosphatidylethanolamine) // triacylglycerol degradation // phospholipid remodeling (phosphatidate)
TGL5	superpathway phosphatidate biosynthesis (yeast) // phospholipid remodeling (phosphatidate) // triacylglycerol degradation
TGS1	
tH(GUG)E1	
tH(GUG)E2	
tH(GUG)G2	
tH(GUG)K	
THG1	
THI11	
THI12	
THI13	
THI2	
THI20	base-degraded thiamin salvage // hydroxymethylpyrimidine salvage // thiamin formation from pyrithiamine and oxythiamine // thiamin salvage IV // 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis
THI21	4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis // hydroxymethylpyrimidine salvage // thiamin formation from pyrithiamine and oxythiamine // thiamin salvage IV
THI22	hydroxymethylpyrimidine salvage // thiamin formation from pyrithiamine and oxythiamine // thiamin salvage IV // 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis
THI3	valine degradation // leucine degradation // leucine degradation III // isoleucine degradation II
THI4	thiazole biosynthesis III
THI4	
THI5	4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis
THI6	4-methyl-5(&beta;-hydroxyethyl)thiazole salvage // thiamin formation from pyrithiamine and oxythiamine // thiamin salvage IV // thiamine diphosphate biosynthesis IV (eukaryotes)
THI7	
THI72	
THI73	
THI74	
THI80	thiamin salvage III // thiamin salvage IV // thiamine diphosphate biosynthesis IV (eukaryotes)
THO1	
THO2	
THP1	
THP2	
THP3	
THR1	L-threonine biosynthesis
THR4	L-threonine biosynthesis
THS1	tRNA charging
tI(AAU)B	
tI(AAU)D	
tI(AAU)E1	
tI(AAU)G	
tI(AAU)P1	
tI(AAU)P2	
tI(GAU)Q	
tI(UAU)D	
tI(UAU)L	
TIF1	
TIF11	
TIF2	
TIF3	
TIF34	
TIF35	
TIF4631	
TIF4632	
TIF5	
TIF6	
TIM10	
TIM11	
TIM12	
TIM13	
TIM17	
TIM18	
TIM21	
TIM22	
TIM23	
TIM44	
TIM50	
TIM54	
TIM8	
TIM9	
TIP1	
TIP20	
TIP41	
TIR1	
TIR2	
TIR3	
TIR4	
TIS11	
tK(CUU)C	
tK(CUU)D1	
tK(CUU)D2	
tK(CUU)E1	
tK(CUU)E2	
tK(CUU)F	
tK(CUU)G1	
tK(CUU)G2	
tK(CUU)G3	
tK(CUU)J	
tK(CUU)M	
tK(CUU)P	
tK(UUU)D	
tK(UUU)G1	
tK(UUU)G2	
tK(UUU)L	
tK(UUU)O	
TKL1	pentose phosphate pathway // pentose phosphate pathway (non-oxidative branch)
TKL2	pentose phosphate pathway // pentose phosphate pathway (non-oxidative branch)
tL(CAA)G1	
tL(CAA)G3	
tL(CAA)K	
tL(CAA)L	
tL(CAA)M	
tL(UAA)B1	
tL(UAA)B2	
tL(UAA)D	
tL(UAA)K	
tL(UAA)L	
tL(UAA)N	
tL(UAA)Q	
tL(UAG)J	
tL(UAG)L1	
tL(UAG)L2	
TLC1	
TLG1	
TLG2	
tM(CAU)C	
tM(CAU)Q2	
TMA10	
TMA108	
TMA16	
TMA17	
TMA19	
TMA20	
TMA22	
TMA23	
TMA46	
TMA64	
TMA7	
TMC1	
TMH11	
TMH18	
TML25	
TMN2	
TMN3	
TMS1	
TMT1	
tN(GUU)F	
tN(GUU)G	
tN(GUU)K	
tN(GUU)O1	
tN(GUU)O2	
tN(GUU)P	
TNA1	
TOA1	
TOA2	
TOD6	
TOF1	
TOF2	
TOG1	
TOH1	
TOK1	
TOM1	protein ubiquitination
TOM20	
TOM22	
TOM40	
TOM5	
TOM6	
TOM7	
TOM70	
TOM71	
TOP1	
TOP2	
TOP3	
TOR1	
TOR2	
TOS1	
TOS2	
TOS3	
TOS4	
TOS6	
TOS8	
tP(UGG)L	
tP(UGG)N1	
tP(UGG)N2	
tP(UGG)O3	
tP(UGG)Q	
TPA1	
TPC1	
TPD3	
TPH3	
TPI1	glycolysis // glycolysis III (from glucose)
TPK1	
TPK2	
TPK3	
TPM1	
TPM2	
TPN1	
TPO1	
TPO2	
TPO3	
TPO4	
TPO5	
TPP1	
TPS1	trehalose biosynthesis I
TPS2	trehalose biosynthesis I // trehalose biosynthesis II
TPS3	
TPT1	tRNA splicing
tQ(UUG)C	
tQ(UUG)D1	
tQ(UUG)D2	
tQ(UUG)D3	
tQ(UUG)E1	
tR(ACG)E	
tR(ACG)J	
tR(ACG)K	
tR(ACG)Q2	
tR(UCU)B	
tR(UCU)E	
tR(UCU)G1	
tR(UCU)G2	
tR(UCU)G3	
tR(UCU)K	
tR(UCU)M1	
tR(UCU)M2	
tR(UCU)Q1	
TRA1	
TRE1	
TRE2	
TRF5	
TRI1	
TRK1	
TRK2	
TRL1	tRNA splicing
TRM1	tRNA methylation
TRM10	
TRM11	tRNA methylation
TRM112	tRNA methylation // tRNA-uridine 2-thiolation (cytoplasmic)
TRM12	wybutosine biosynthesis // 7-(3-amino-3-carboxypropyl)-wyosine biosynthesis
TRM13	tRNA methylation
TRM2	
TRM3	
TRM44	tRNA methylation
TRM5	wybutosine biosynthesis // 7-(3-amino-3-carboxypropyl)-wyosine biosynthesis // tRNA methylation
TRM7	tRNA methylation
TRM732	
TRM8	
TRM82	
TRM9	tRNA methylation // tRNA-uridine 2-thiolation (cytoplasmic)
TRN1	tRNA charging
TRP1	superpathway of phenylalanine, tyrosine and tryptophan biosynthesis // L-tryptophan biosynthesis
TRP2	superpathway of phenylalanine, tyrosine and tryptophan biosynthesis // L-tryptophan biosynthesis
TRP3	superpathway of phenylalanine, tyrosine and tryptophan biosynthesis // L-tryptophan biosynthesis
TRP4	superpathway of phenylalanine, tyrosine and tryptophan biosynthesis // L-tryptophan biosynthesis
TRP5	superpathway of phenylalanine, tyrosine and tryptophan biosynthesis // L-tryptophan biosynthesis
TRR1	thioredoxin system
TRR2	thioredoxin system
TRR4	tRNA charging
TRS120	
TRS130	
TRS20	
TRS23	
TRS31	
TRS33	
TRS65	
TRS85	
TRT2	tRNA charging
TRX1	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I // pyrimidine deoxyribonucleotides biosynthesis from CTP // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I // adenosine deoxyribonucleotides <i>de novo</i> biosynthesis // assimilatory sulfate reduction I // arsenic detoxification (yeast) // thioredoxin system
TRX2	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I // pyrimidine deoxyribonucleotides biosynthesis from CTP // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I // adenosine deoxyribonucleotides <i>de novo</i> biosynthesis // assimilatory sulfate reduction I // arsenic detoxification (yeast) // thioredoxin system
TRX3	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I // pyrimidine deoxyribonucleotides biosynthesis from CTP // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I // adenosine deoxyribonucleotides <i>de novo</i> biosynthesis // assimilatory sulfate reduction I // arsenic detoxification (yeast) // thioredoxin system
TRZ1	
tS(AGA)A	
tS(AGA)B	
tS(AGA)D1	
tS(AGA)D2	
tS(AGA)D3	
tS(AGA)G	
tS(AGA)H	
tS(GCU)F	
tS(GCU)O	
tS(GCU)Q1	
tS(UGA)Q2	
TSA1	
TSA2	
TSC10	sphingolipid biosynthesis (yeast)
TSC11	
TSC13	very long chain fatty acid biosynthesis
TSC3	sphingolipid biosynthesis (yeast)
TSL1	
TSR1	
TSR2	
TSR3	
TSR4	
tT(AGU)B	
tT(AGU)D	
tT(AGU)H	
tT(AGU)I2	
tT(AGU)N1	
tT(AGU)N2	
tT(AGU)O2	
tT(UAG)Q2	
tT(UGU)G2	
tT(UGU)Q1	
TTI1	
TTI2	
TUB1	
TUB2	
TUB3	
TUB4	
TUF1	
TUL1	
TUM1	tRNA-uridine 2-thiolation (yeast mitochondria) // tRNA-uridine 2-thiolation (cytoplasmic) // thiosulfate disproportionation III (rhodanese)
TUP1	
TUS1	
tV(AAC)E1	
tV(AAC)E2	
tV(AAC)G1	
tV(AAC)G2	
tV(AAC)G3	
tV(AAC)K1	
tV(AAC)K2	
tV(AAC)L	
tV(AAC)M1	
tV(AAC)M2	
tV(AAC)M3	
tV(CAC)D	
tV(CAC)H	
tV(UAC)D	
tV(UAC)Q	
TVP15	
TVP18	
TVP23	
TVP38	
tW(UCA)Q	
TWF1	
tX(XXX)D	
tX(XXX)L	
tY(GUA)Q	
TYC1	
TYE7	
TYR1	tyrosine biosynthesis
TYS1	tRNA charging
TYW1	wybutosine biosynthesis // 7-(3-amino-3-carboxypropyl)-wyosine biosynthesis
TYW3	wybutosine biosynthesis // 7-(3-amino-3-carboxypropyl)-wyosine biosynthesis
UAF30	
UBA1	protein ubiquitination
UBA2	protein ubiquitination
UBA3	protein NEDDylation
UBA4	tRNA-uridine 2-thiolation (cytoplasmic)
UBC1	protein ubiquitination
UBC11	protein ubiquitination
UBC12	protein NEDDylation
UBC13	protein ubiquitination
UBC4	protein ubiquitination
UBC5	protein ubiquitination
UBC6	protein ubiquitination
UBC7	protein ubiquitination
UBC8	protein ubiquitination
UBC9	
UBI4	
UBP1	
UBP10	
UBP11	
UBP12	
UBP13	
UBP14	
UBP15	
UBP16	
UBP2	
UBP3	
UBP5	
UBP6	
UBP7	
UBP8	
UBP9	
UBR1	protein ubiquitination
UBR2	protein ubiquitination
UBS1	
UBX2	protein ubiquitination
UBX3	
UBX4	
UBX5	
UBX6	
UBX7	
UCC1	
UFD1	
UFD2	
UFD4	protein ubiquitination
UFE1	
UFO1	protein ubiquitination
UGA1	4-aminobutyrate degradation
UGA2	4-aminobutyrate degradation
UGA3	
UGA4	
UGO1	
UGP1	dolichyl glucosyl phosphate biosynthesis // UDP-&alpha;-D-glucose biosynthesis I
UGX2	
UIP3	
UIP4	
UIP5	
ULA1	protein NEDDylation
ULI1	
ULP1	
ULP2	
ULS1	
UME1	
UME6	
UMP1	
UNG1	
UPC2	
UPF3	
UPS1	
UPS2	
UPS3	
URA1	UMP biosynthesis II
URA10	UMP biosynthesis II
URA2	urea cycle // glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // UMP biosynthesis II
URA3	UMP biosynthesis II
URA4	UMP biosynthesis II
URA5	UMP biosynthesis II
URA6	superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I // superpathway of purine nucleotides <i>de novo</i> biosynthesis I // adenosine ribonucleotides <i>de novo</i> biosynthesis // CMP phosphorylation // superpathway of pyrimidine nucleobases salvage // superpathway of pyrimidine ribonucleosides salvage // UTP and CTP <i>de novo</i> biosynthesis
URA7	glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // superpathway of pyrimidine nucleobases salvage // superpathway of pyrimidine ribonucleosides salvage // UTP and CTP dephosphorylation II // UTP and CTP dephosphorylation I // UTP and CTP <i>de novo</i> biosynthesis
URA8	glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // superpathway of pyrimidine nucleobases salvage // superpathway of pyrimidine ribonucleosides salvage // UTP and CTP dephosphorylation II // UTP and CTP dephosphorylation I // UTP and CTP <i>de novo</i> biosynthesis
URB1	
URB2	
URC2	
URE2	glutathione redox reactions I // reactive oxygen species degradation
URH1	nicotinamide riboside salvage pathway II // pyrimidine ribonucleosides salvage III // superpathway of pyrimidine ribonucleosides salvage // pyrimidine ribonucleosides salvage II
URK1	superpathway of pyrimidine ribonucleosides salvage // pyrimidine ribonucleosides salvage I
URM1	
URN1	
USA1	
USB1	
USE1	
USO1	
USV1	
UTH1	
UTP10	
UTP11	
UTP13	
UTP14	
UTP15	
UTP18	
UTP20	
UTP21	
UTP22	
UTP23	
UTP25	
UTP30	
UTP4	
UTP5	
UTP6	
UTP7	
UTP8	
UTP9	
UTR1	superpathway of NAD/NADP - NADH/NADPH interconversion (yeast) // NAD/NADP-NADH/NADPH cytosolic interconversion (yeast) // NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)
UTR2	
UTR4	methionine salvage pathway
UTR5	
VAB2	
VAC14	phosphatidylinositol phosphate biosynthesis // 3-phosphoinositide biosynthesis
VAC17	
VAC7	phosphatidylinositol phosphate biosynthesis // 3-phosphoinositide biosynthesis
VAC8	
VAM10	
VAM3	
VAM6	
VAM7	
VAN1	protein <i>N</i>-glycosylation processing of mannoproteins (<i>cis-Golgi</i>, yeast)
VAR1	
VAS1	tRNA charging
VBA1	
VBA2	
VBA3	
VBA4	
VBA5	
VCX1	
VEL1	
VFA1	
VHC1	
VHR1	
VHR2	
VHS1	
VHS2	
VHS3	coenzyme A biosynthesis II (eukaryotic)
VHT1	
VID22	
VID24	
VID27	
VID28	
VID30	
VIK1	
VIP1	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis I (from Ins(1,4,5)P3) // inositol phosphate biosynthesis // inositol diphosphates biosynthesis
VLD1	
VMA1	
VMA10	
VMA11	
VMA13	
VMA16	
VMA2	
VMA21	
VMA22	
VMA3	
VMA4	
VMA5	
VMA6	
VMA7	
VMA8	
VMA9	
VMR1	
VMS1	
VNX1	
VOA1	
VPH1	
VPH2	
VPS1	
VPS13	
VPS15	phosphatidylinositol phosphate biosynthesis // 3-phosphoinositide biosynthesis
VPS16	
VPS17	
VPS20	
VPS21	
VPS24	
VPS25	
VPS27	
VPS28	
VPS29	
VPS3	
VPS30	phosphatidylinositol phosphate biosynthesis // 3-phosphoinositide biosynthesis
VPS33	
VPS34	phosphatidylinositol phosphate biosynthesis // 3-phosphoinositide biosynthesis
VPS35	
VPS36	
VPS38	phosphatidylinositol phosphate biosynthesis // 3-phosphoinositide biosynthesis
VPS4	
VPS41	
VPS45	
VPS5	
VPS51	
VPS52	
VPS53	
VPS54	
VPS55	
VPS60	
VPS62	
VPS63	
VPS64	
VPS68	
VPS70	
VPS71	
VPS72	
VPS73	
VPS74	
VPS75	
VPS8	
VPS9	
VRG4	
VRP1	
VTA1	
VTC1	
VTC2	
VTC3	
VTC4	
VTC5	
VTH1	
VTH2	
VTI1	
VTS1	
WAR1	
WBP1	protein <i>N</i>-glycosylation (eukaryotic) initial steps
WHI2	
WHI3	
WHI4	
WHI5	
WIP1	
WRS1	tRNA charging
WSC2	
WSC3	
WSC4	
WSS1	
WTM1	
WTM2	
WWM1	
XBP1	
XDJ1	
XKS1	xylitol degradation
XPT1	guanine and guanosine salvage // adenine and adenosine salvage IV // xanthine and xanthosine salvage
XRN1	
XRS2	
XYL2	xylitol degradation
YAE1	
YAF9	
YAH1	
YAK1	
YAL037C-A	
YAL037W	
YAL063C-A	
YAL064W	
YAL064W-B	
YAL065C	
YAL067W-A	
YAP1	
YAP1801	
YAP1802	
YAP3	
YAP5	
YAP6	
YAP7	
YAR023C	
YAR028W	
YAR029W	
YAR035C-A	
YAR064W	
YAR066W	
YAR068W	
YAR075W	
YAR1	
YAT1	carnitine shuttle
YAT2	carnitine shuttle
YBL008W-A	
YBL010C	
YBL028C	
YBL029C-A	
YBL029W	
YBL036C	
YBL044W	
YBL055C	
YBL071C	
YBL071C-B	
YBL081W	
YBL086C	
YBL096C	
YBL100W-C	
YBL111C	
YBL112C	
YBL113C	
YBP1	
YBP2	
YBR013C	
YBR016W	
YBR027C	
YBR032W	
YBR053C	
YBR056W	
YBR062C	
YBR063C	
YBR071W	
YBR072C-A	
YBR085C-A	
YBR090C	
YBR096W	
YBR109W-A	
YBR124W	
YBR137W	
YBR138C	
YBR144C	
YBR182C-A	
YBR184W	
YBR196C-A	
YBR196C-B	
YBR197C	
YBR200W-A	
YBR209W	
YBR219C	
YBR220C	
YBR221W-A	
YBR225W	
YBR238C	
YBR241C	
YBR242W	
YBR259W	
YBR284W	
YBR285W	
YBR287W	
YBR292C	
YBR298C-A	
YBT1	glutathione-mediated detoxification II // glutathione-mediated detoxification I
YCF1	arsenic detoxification (yeast) // glutathione-mediated detoxification II // glutathione-mediated detoxification I
YCG1	
YCH1	
YCK1	
YCK2	
YCK3	
YCL001W-A	
YCL001W-B	
YCL002C	
YCL012C	
YCL021W-A	
YCL042W	
YCL048W-A	
YCL049C	
YCL068C	
YCP4	
YCR001W	
YCR006C	
YCR007C	
YCR016W	
YCR018C-A	
YCR022C	
YCR023C	
YCR024C-B	
YCR025C	
YCR041W	
YCR043C	
YCR050C	
YCR051W	
YCR061W	
YCR085W	
YCR087C-A	
YCR090C	
YCR095W-A	
YCR099C	
YCR101C	
YCR102C	
YCR108C	
YCS4	
YCT1	
YDC1	sphingolipid recycling and degradation (yeast)
YDJ1	
YDL007C-A	
YDL009C	
YDL012C	
YDL022C-A	
YDL057W	
YDL085C-A	
YDL086W	
YDL109C	
YDL114W	
YDL124W	
YDL129W	
YDL144C	
YDL157C	
YDL159C-B	
YDL159W-A	
YDL176W	
YDL177C	
YDL180W	
YDL183C	
YDL186W	
YDL199C	
YDL206W	
YDL211C	
YDL218W	
YDL241W	
YDL242W	
YDR003W-A	
YDR010C	
YDR018C	
YDR029W	
YDR034C-A	
YDR034W-B	
YDR042C	
YDR053W	
YDR061W	
YDR102C	
YDR109C	
YDR114C	
YDR124W	
YDR131C	protein ubiquitination
YDR157W	
YDR169C-A	
YDR182W-A	
YDR194W-A	
YDR209C	
YDR210W	
YDR215C	
YDR222W	
YDR239C	
YDR246W-A	
YDR248C	D-gluconate degradation
YDR249C	
YDR262W	
YDR274C	
YDR278C	
YDR306C	
YDR338C	
YDR340W	
YDR341C	tRNA charging
YDR344C	
YDR366C	
YDR391C	
YDR415C	
YDR444W	
YDR476C	
YDR514C	
YDR524C-B	
YDR524W-C	
YDR541C	
YEA4	
YEA6	
YEF1	superpathway of NAD/NADP - NADH/NADPH interconversion (yeast) // NAD/NADP-NADH/NADPH cytosolic interconversion (yeast) // NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)
YEF3	
YEH1	sterol:steryl ester interconversion
YEH2	sterol:steryl ester interconversion
YEL008C-A	
YEL008W	
YEL009C-A	
YEL014C	
YEL023C	
YEL025C	
YEL028W	
YEL030C-A	
YEL032C-A	
YEL043W	
YEL067C	
YEL068C	
YEL073C	
YEL075C	
YEL076C	
YEL076C-A	
YEL077C	
YEL1	
YEN1	
YER010C	
YER034W	
YER039C-A	
YER053C-A	
YER076C	
YER078W-A	
YER079W	
YER084W	
YER085C	
YER121W	
YER134C	
YER135C	
YER137C	
YER138W-A	
YER145C-A	
YER152C	L-lysine biosynthesis IV
YER156C	
YER158C	
YER175W-A	
YER181C	
YER186C	
YER187W	
YER188C-A	
YER188W	
YER189W	
YER190C-B	
YET1	
YET2	
YET3	
YFH1	iron-sulfur cluster biosynthesis
YFH7	
YFL012W	
YFL015C	
YFL019C	
YFL040W	
YFL041W-A	
YFL051C	
YFL064C	
YFL065C	
YFL066C	
YFL067W	
YFL068W	
YFR006W	
YFR012W-A	
YFR016C	
YFR018C	
YFR035C	
YFR045W	
YFR054C	
YFR057W	
YFT2	
YGK1	
YGK3	
YGL006W-A	
YGL007C-A	
YGL015C	
YGL034C	
YGL036W	
YGL039W	
YGL041C-B	
YGL081W	
YGL082W	
YGL088W	
YGL108C	
YGL114W	
YGL117W	
YGL118C	
YGL138C	
YGL140C	
YGL149W	
YGL159W	
YGL176C	
YGL185C	
YGL188C-A	
YGL193C	
YGL194C-A	
YGL204C	
YGL230C	
YGL235W	
YGL242C	
YGL258W-A	
YGL260W	
YGL262W	
YGP1	
YGR016W	
YGR017W	
YGR018C	
YGR025W	
YGR026W	
YGR035C	
YGR035W-A	
YGR039W	
YGR045C	
YGR050C	
YGR054W	
YGR066C	
YGR067C	
YGR079W	
YGR111W	
YGR117C	
YGR121W-A	
YGR122W	
YGR125W	
YGR126W	
YGR127W	
YGR130C	
YGR146C-A	
YGR153W	
YGR161W-C	
YGR164W	
YGR174W-A	
YGR201C	
YGR204C-A	
YGR210C	
YGR237C	
YGR240C-A	
YGR266W	
YGR273C	
YGR283C	
YHB1	
YHC1	
YHC3	
YHI9	
YHK8	
YHL005C	
YHL008C	
YHL012W	dolichyl glucosyl phosphate biosynthesis // UDP-&alpha;-D-glucose biosynthesis I
YHL015W-A	
YHL017W	
YHL026C	
YHL037C	
YHL041W	
YHL042W	
YHL044W	
YHL045W	
YHL048C-A	
YHL049C	
YHL050C	
YHM2	
YHP1	
YHR007C-A	
YHR020W	tRNA charging
YHR022C	
YHR022C-A	
YHR033W	L-proline biosynthesis I (from L-glutamate)
YHR045W	
YHR050W-A	
YHR054C	
YHR078W	
YHR086W-A	
YHR112C	superpathway of L-cysteine biosynthesis (fungi) // superpathway of sulfur amino acid biosynthesis (<i>Saccharomyces cerevisiae</i>) // homocysteine and cysteine interconversion // glutathione-mediated detoxification II // glutathione-mediated detoxification I
YHR125W	
YHR127W	
YHR130C	
YHR131C	
YHR138C	
YHR139C-A	
YHR140W	
YHR173C	
YHR175W-A	
YHR180W	
YHR182W	
YHR202W	
YHR210C	
YHR212W-A	
YHR213W	
YHR213W-A	
YHR213W-B	
YHR214C-D	
YHR214C-E	
YHR214W	
YHR218W	
YHR219W	
YIA6	
YIF1	
YIG1	
YIH1	
YIL001W	
YIL012W	
YIL014C-A	
YIL024C	
YIL046W-A	
YIL054W	
YIL055C	
YIL060W	
YIL067C	
YIL082W	
YIL086C	
YIL089W	
YIL092W	
YIL102C	
YIL102C-A	
YIL105W-A	
YIL108W	
YIL134C-A	
YIL152W	
YIL161W	
YIL163C	
YIL165C	
YIL177C	
YIM1	
YIP1	
YIP3	
YIP4	
YIP5	
YIR016W	
YIR018C-A	
YIR020C	
YIR021W-A	
YIR042C	
YJL007C	
YJL027C	
YJL028W	
YJL043W	
YJL045W	aerobic respiration I (cytochrome c)
YJL047C-A	
YJL052C-A	
YJL068C	formaldehyde oxidation II (glutathione-dependent) // formaldehyde oxidation II (glutathione-dependent)
YJL070C	
YJL077W-A	
YJL077W-B	
YJL107C	
YJL118W	
YJL132W	
YJL136W-A	
YJL163C	
YJL193W	
YJL206C	
YJL213W	
YJL218W	
YJL225C	
YJR011C	
YJR012C	
YJR015W	
YJR023C	
YJR056C	
YJR079W	
YJR084W	
YJR096W	
YJR098C	
YJR112W-A	
YJR115W	
YJR120W	
YJR124C	
YJR128W	
YJR142W	
YJR146W	
YJR149W	alkylnitronates degradation
YJR151W-A	
YJR154W	
YJU2	
YJU3	triacylglycerol degradation // monoacylglycerol metabolism
YKE2	
YKE4	
YKL023W	
YKL033W-A	
YKL050C	
YKL063C	
YKL068W-A	
YKL069W	
YKL070W	
YKL071W	
YKL075C	
YKL091C	
YKL096C-B	
YKL097C	
YKL100W-A	
YKL102C	
YKL106C-A	
YKL107W	
YKL162C	
YKL183C-A	
YKL222C	
YKR005C	
YKR011C	
YKR015C	
YKR018C	
YKR032W	
YKR041W	
YKR045C	
YKR070W	
YKR073C	
YKR075C	
YKR078W	
YKR104W	
YKT6	
YKU70	
YKU80	
YLF2	
YLH47	
YLL006W-A	
YLL032C	
YLL053C	
YLL054C	
YLL056C	ethylene glycol degradation
YLL058W	superpathway of L-cysteine biosynthesis (fungi) // superpathway of sulfur amino acid biosynthesis (<i>Saccharomyces cerevisiae</i>) // homocysteine and cysteine interconversion
YLL066C	
YLL066W-B	
YLL067C	
YLR001C	
YLR012C	
YLR030W	
YLR031W	
YLR036C	
YLR042C	
YLR046C	
YLR053C	
YLR108C	
YLR111W	
YLR112W	
YLR122C	
YLR125W	
YLR126C	
YLR146W-A	
YLR149C	
YLR152C	
YLR154C-G	
YLR154C-H	
YLR156C-A	
YLR156W	
YLR157C-C	
YLR157W-D	
YLR157W-E	
YLR159C-A	
YLR159W	
YLR161W	
YLR162W	
YLR173W	
YLR177W	
YLR179C	
YLR225C	
YLR236C	
YLR255C	
YLR257W	
YLR264C-A	
YLR278C	
YLR283W	
YLR285C-A	
YLR287C	
YLR296W	
YLR297W	
YLR302C	
YLR326W	
YLR342W-A	
YLR345W	fructose 2,6-bisphosphate biosynthesis
YLR358C	
YLR361C-A	
YLR363W-A	
YLR365W	
YLR406C-A	
YLR407W	
YLR412C-A	
YLR415C	
YLR419W	
YLR446W	
YLR456W	
YLR460C	
YLR462W	
YLR464W	
YMC1	
YMC2	
YMD8	
YME1	
YME2	
YML002W	
YML003W	
YML018C	
YML020W	
YML037C	
YML053C	
YML054C-A	
YML079W	
